Module                  Size  Used by
aml_dhp                57344  2 
video_framerate_adapter    20480  0 
amvdec_av1_t5d_v4l    225280  0 
amvdec_av1_v4l        245760  0 
amvdec_av1            204800  0 
amvdec_mavs_v4l        86016  0 
amvdec_mavs            65536  0 
memalloc               36864  0 
vc8000                110592  0 
amvenc_multi          139264  0 
jpegenc                86016  0 
encoder                94208  1 jpegenc
encoder_common         20480  3 amvenc_multi,jpegenc,encoder
amvdec_h266_v4l       942080  0 
amvdec_h266           929792  0 
amvdec_avs3_v4l       458752  0 
amvdec_avs3           434176  0 
amvdec_avs2_v4l       151552  0 
amvdec_avs2           286720  0 
amvdec_vp9_v4l        176128  0 
amvdec_vp9            159744  0 
amvdec_vc1_v4l        131072  0 
amvdec_vc1            110592  0 
amvdec_mmpeg4_v4l      69632  0 
amvdec_mmpeg4          57344  0 
amvdec_mmpeg12_v4l     94208  0 
amvdec_mmpeg12         81920  0 
amvdec_mmjpeg_v4l      53248  0 
amvdec_mmjpeg          40960  0 
amvdec_h265_v4l       237568  0 
amvdec_h265           208896  0 
amvdec_h264mvc         86016  0 
amvdec_mh264_v4l      266240  0 
amvdec_mh264          245760  0 
amvdec_ports          442368  0 
media_sync            258048  0 
adla_core             249856  4 
stream_input          274432  16 amvdec_mavs_v4l,amvdec_mavs,amvdec_h266_v4l,amvdec_h266,amvdec_avs3_v4l,amvdec_avs3,amvdec_avs2_v4l,amvdec_avs2,amvdec_mmpeg12_v4l,amvdec_mmpeg12,amvdec_h265_v4l,amvdec_h265,amvdec_mh264_v4l,amvdec_mh264,amvdec_ports,media_sync
decoder_common        585728  32 video_framerate_adapter,amvdec_av1_t5d_v4l,amvdec_av1_v4l,amvdec_av1,amvdec_mavs_v4l,amvdec_mavs,amvenc_multi,jpegenc,encoder,amvdec_h266_v4l,amvdec_h266,amvdec_avs3_v4l,amvdec_avs3,amvdec_avs2_v4l,amvdec_avs2,amvdec_vp9_v4l,amvdec_vp9,amvdec_vc1_v4l,amvdec_vc1,amvdec_mmpeg4_v4l,amvdec_mmpeg4,amvdec_mmpeg12_v4l,amvdec_mmpeg12,amvdec_mmjpeg_v4l,amvdec_mmjpeg,amvdec_h265_v4l,amvdec_h265,amvdec_h264mvc,amvdec_mh264_v4l,amvdec_mh264,amvdec_ports,stream_input
pts_server             77824  13 amvdec_mavs,amvdec_h266_v4l,amvdec_h266,amvdec_avs3,amvdec_avs2,amvdec_vp9,amvdec_mmpeg4,amvdec_mmpeg12,amvdec_mmjpeg,amvdec_h265,amvdec_mh264,amvdec_ports,stream_input
firmware               45056  32 aml_dhp,amvdec_av1_t5d_v4l,amvdec_av1_v4l,amvdec_av1,amvdec_mavs_v4l,amvdec_mavs,jpegenc,encoder,amvdec_h266_v4l,amvdec_h266,amvdec_avs3_v4l,amvdec_avs3,amvdec_avs2_v4l,amvdec_avs2,amvdec_vp9_v4l,amvdec_vp9,amvdec_vc1_v4l,amvdec_vc1,amvdec_mmpeg4_v4l,amvdec_mmpeg4,amvdec_mmpeg12_v4l,amvdec_mmpeg12,amvdec_mmjpeg_v4l,amvdec_mmjpeg,amvdec_h265_v4l,amvdec_h265,amvdec_h264mvc,amvdec_mh264_v4l,amvdec_mh264,amvdec_ports,stream_input,decoder_common
media_clock           114688  35 amvdec_av1_t5d_v4l,amvdec_av1_v4l,amvdec_av1,amvdec_mavs_v4l,amvdec_mavs,memalloc,vc8000,amvenc_multi,jpegenc,encoder,amvdec_h266_v4l,amvdec_h266,amvdec_avs3_v4l,amvdec_avs3,amvdec_avs2_v4l,amvdec_avs2,amvdec_vp9_v4l,amvdec_vp9,amvdec_vc1_v4l,amvdec_vc1,amvdec_mmpeg4_v4l,amvdec_mmpeg4,amvdec_mmpeg12_v4l,amvdec_mmpeg12,amvdec_mmjpeg_v4l,amvdec_mmjpeg,amvdec_h265_v4l,amvdec_h265,amvdec_h264mvc,amvdec_mh264_v4l,amvdec_mh264,amvdec_ports,stream_input,decoder_common,firmware
dovi_s6_5_15_stb26    585728  0 
mali_kbase           1355776  19 
snd_aloop              45056  0 
amlogic_pcie           73728  0 
mac80211             1282048  0 
libarc4                16384  1 mac80211
cfg80211             1413120  1 mac80211
amlogic_snd_codec_es8388    57344  1 
amlogic_snd_codec_t9015    32768  0 
amlogic_snd_soc      1093632  19 amlogic_snd_codec_t9015
amlogic_snd_codec_dummy    20480  1 
amlogic_usb_cam        53248  0 
amlogic_seckey         86016  0 
dwmac_dwc_qos_eth      24576  0 
dwmac_meson8b          40960  0 
dwmac_meson            20480  0 
stmmac_platform        24576  3 dwmac_dwc_qos_eth,dwmac_meson8b,dwmac_meson
stmmac                438272  4 dwmac_dwc_qos_eth,dwmac_meson8b,dwmac_meson,stmmac_platform
amlogic_maxio          24576  0 
amlogic_realtek        40960  1 
amlogic_mdio_g12a      28672  1 dwmac_meson8b
amlogic_host           65536  0 
amlogic_socinfo        36864  0 
adc_power              20480  0 
typec_mux_gpio         20480  1 
hwmonitor              40960  0 
sysled_rgb             36864  0 
amlogic_rtc            32768  0 
dwc_otg               466944  0 [permanent]
amlogic_dvb_ci        135168  0 
amlogic_dummy_fe       36864  0 
amlogic_dvb_demux     286720  1 media_sync
leds_gpio              20480  0 
videobuf_vmalloc       16384  0 
v4l2_fwnode            24576  0 
v4l2_async             32768  1 v4l2_fwnode
i2c_dev                40960  0 
rtc_hym8563            24576  0 
fusb302                45056  0 
r8153_ecm              20480  0 
aqc111                 36864  0 
cdc_ncm                53248  0 
cdc_eem                20480  0 
cdc_ether              32768  2 r8153_ecm,cdc_ncm
ax88179_178a           45056  0 
asix                   57344  0 
